id,image_ids,species,location,date,latitude,longitude,ind_conf
8264,15287,Amanita muscaria,"Mexico, Jalisco",2008-07-07,20.67444,-103.3326,9%
8299,15396;15397,Trametes versicolor,"USA, California",2008-07-12,38.53872,-122.80032,86%
8384,15599;15600,Coprinus comatus,"USA, California",2008-07-14,38.25198,-122.625,92%
8394,15639;15640;15641,Amanita muscaria,"Mexico, Jalisco",2008-07-14,20.85048,-103.96332,75%
8422,15752;15753,Fuligo septica,"USA, California",2008-07-18,38.43558,-122.70348,91%
8431,15786;15787,Fuligo septica,"USA, California",2008-07-19,38.3985,-122.82732,86%
8479,15885;15886;15887;15888,Amanita amerirubescens,"USA, Georgia",2008-07-23,32.77818,-83.23236,82%
8531,16007,Hypomyces lactifluorum,"Mexico, Jalisco",2008-07-28,20.67444,-103.3326,87%
8532,16008,Coprinus comatus,"Mexico, Jalisco",2008-07-29,20.67444,-103.3326,95%
8539,16019,Boletus edulis,"Mexico, Jalisco",2008-07-29,20.85048,-103.96332,87%
8546,16035;16036;16037,Lactarius indigo,"Mexico, Jalisco",2008-07-24,20.85048,-103.96332,87%
8569,16097,Artomyces pyxidatus,"USA, North Carolina",2008-07-16,36.20808,-81.66708,92%
8572,16100,Amanita amerirubescens,"USA, North Carolina",2008-07-16,36.20808,-81.66708,82%
8614,16204;16205;16206;16207,Cantharellus cinnabarinus,"USA, North Carolina",2008-07-19,35.06148,-83.21184,86%
8640,16289,Cantharellus cinnabarinus,"USA, Ohio",2008-08-01,39.35286,-82.03932,86%
8643,16298;16299;16300,Lactarius indigo,"USA, North Carolina",2008-07-26,35.35146,-82.7676,86%
8655,16318;16319,Artomyces pyxidatus,"USA, Maryland",2008-07-12,39.14388,-77.20812,91%
8659,16322;16323,Artomyces pyxidatus,"USA, Ohio",2008-08-04,39.31542,-82.36152,86%
8672,16353;16354;16355,Fuligo septica,"USA, Ohio",2008-08-04,39.31542,-82.36152,75%
8676,16365;16366;16367;16368,Mixed collection,"USA, Colorado",2008-08-04,39.83832,-105.17256,84%
8702,16458;16459;16460;16461,Cantharellus cinnabarinus,"USA, Georgia",2008-08-06,32.77818,-83.23236,94%
8796,16630;16631,Pluteus cervinus,"USA, Oregon",2001-06-10,45.38646,-123.97752,86%
8878,16788,Boletus edulis,"USA, California",2008-08-10,38.08476,-122.86764,83%
8880,16790,Boletus edulis,"USA, California",2008-08-10,38.08476,-122.86764,83%
8882,16792;16793;16794;16795,Boletus edulis,"USA, California",2008-08-10,38.08476,-122.86764,83%
8937,16891,Ganoderma oregonense,"USA, Oregon",2006-10-16,45.5427,-122.65452,72%
8946,16900,Grifola frondosa,"USA, Oregon",2006-10-16,45.5427,-122.65452,92%
8969,16923,Boletus edulis,"USA, Oregon",2006-10-16,45.5427,-122.65452,86%
9003,16959,Amanita muscaria,"USA, Oregon",2006-10-16,45.5427,-122.65452,86%
9004,16960,Amanita muscaria,"USA, Oregon",2006-10-16,45.5427,-122.65452,84%
9025,16990;16991,Grifola frondosa,"USA, Oregon",2006-10-16,45.5427,-122.65452,92%
9049,17017,Ganoderma oregonense,"USA, Oregon",2006-10-16,45.5427,-122.65452,86%
9061,17030,Ganoderma applanatum,"USA, Oregon",2006-10-16,45.5427,-122.65452,86%
9115,17106,Hypomyces lactifluorum,"USA, Oregon",2003-10-20,45.5427,-122.65452,86%
9143,17152,Coprinus comatus,"USA, Oregon",2007-10-22,45.5427,-122.65452,86%
9148,17157,Hypomyces lactifluorum,"USA, Oregon",2007-10-22,45.5427,-122.65452,86%
9169,17178,Trametes versicolor,"USA, Oregon",2007-10-22,45.5427,-122.65452,86%
9213,17237,Trametes versicolor,"USA, New York",2008-08-09,42.88572,-73.80936,75%
9226,17269,Amanita muscaria,"USA, Colorado",2008-08-10,40.36608,-105.71652,83%
9239,17282,Amanita muscaria,"USA, Oregon",2005-10-31,44.00676,-122.96952,84%
9247,17290,Boletus edulis,"USA, Oregon",2005-10-31,44.00676,-122.96952,86%
9254,17297,Ganoderma applanatum,"USA, Oregon",2005-10-31,44.00676,-122.96952,86%
9267,17317,Hypomyces lactifluorum,"USA, Oregon",2005-10-31,44.00676,-122.96952,86%
9312,17363,Trametes versicolor,"USA, Oregon",2005-10-31,44.00676,-122.96952,86%
9397,17484,Amanita muscaria,"USA, Oregon",2001-10-19,45.5427,-122.65452,84%
9407,17497,Boletus edulis,"USA, Oregon",2001-10-20,45.5427,-122.65452,86%
9455,17595,Amanita muscaria,"USA, Oregon",2003-10-19,45.5427,-122.65452,84%
9469,17613,Boletus edulis,"USA, Oregon",2003-10-19,45.5427,-122.65452,86%
9519,17675,Hypomyces lactifluorum,"USA, Oregon",2003-10-19,45.5427,-122.65452,86%
9690,17939;17940,Fuligo septica,"Canada, British Columbia",2008-08-19,57.43332,-126.16704,89%
9719,18008,Boletus edulis,"USA, Oregon",2003-11-02,45.57942,-123.95088,86%
9727,18016,Ganoderma oregonense,"USA, Oregon",2003-11-02,45.57942,-123.95088,84%
9773,18088;18089,Cantharellus cinnabarinus,"USA, West Virginia",2008-08-17,38.2059,-80.937,86%
9827,18171,Pluteus cervinus,"USA, California",2008-08-17,38.43558,-122.70348,84%
9864,18269;18270,Amanita amerirubescens,"USA, West Virginia",2008-08-18,37.98918,-80.98272,91%
9898,18323;18324;18325;18326,Coprinus comatus,"USA, Oregon",2004-03-28,45.5427,-122.65452,91%
9901,18331,Mixed collection,Canada,2008-08-23,62.3385,-96.80868,85%
9911,18358;18359,Amanita amerirubescens,"USA, West Virginia",2008-08-12,37.98918,-80.98272,91%
9919,18374,Amanita amerirubescens,"USA, Ohio",2008-07-18,39.6189,-82.00332,91%
9949,18414;18415;18416;18417,Fuligo septica,"USA, California",2008-08-23,34.13178,-118.13652,84%
9955,18425,Hypomyces lactifluorum,"USA, Oregon",2002-10-20,45.51048,-122.71896,86%
10020,18555;18556,Artomyces pyxidatus,"USA, Illinois",2008-08-24,37.6803,-89.39484,86%
10044,18623,Amanita muscaria,"USA, Oregon",2001-11-04,45.57942,-123.95088,90%
10045,18624;18625,Amanita muscaria,"USA, Oregon",2001-11-05,45.57942,-123.95088,77%
10051,18642;18643;18644,Coprinus comatus,"Sweden, Gothenburg",2008-08-25,57.68046,11.997,84%
10092,18735,Amanita amerirubescens,"USA, West Virginia",2008-07-26,37.87812,-81.0504,82%
10148,18870;18871,Ganoderma applanatum,"USA, New York",2008-08-10,42.9057,-73.82052,73%
10174,18920;18921;18922,Cantharellus cinnabarinus,"USA, New York",2008-08-11,42.88572,-73.80936,74%
10196,18968;18969,Trametes versicolor,"USA, Washington",2003-03-16,47.92734,-122.09364,90%
10209,19001;19002,Pluteus cervinus,Japan,2008-08-30,37.69038,137.286,83%
10283,19218;19219;19220;19221;19222,Hypomyces lactifluorum,"Mexico, Jalisco",2008-08-16,20.67444,-103.3326,87%
10314,19314;19315,Pluteus cervinus,"USA, Ohio",2008-09-01,39.35286,-82.03932,92%
